id_codedep_codecom,coddep,commune,pmun,pcap,ptot
01250,01,MISÉRIEUX,1974,252,2226
01252,01,MOGNENEINS,786,22,808
01254,01,MONTAGNAT,2116,51,2167
01255,01,MONTAGNIEU,647,12,659
01257,01,MONTANGES,351,10,361
01258,01,MONTCEAUX,1190,32,1222
01259,01,MONTCET,702,16,718
01260,01,LE MONTELLIER,302,5,307
01261,01,MONTHIEUX,668,23,691
01262,01,MONTLUEL,6886,83,6969
01263,01,MONTMERLE-SUR-SAÔNE,3772,87,3859
01264,01,MONTRACOL,1016,20,1036
01265,01,MONTRÉAL-LA-CLUSE,3456,71,3527
01266,01,MONTREVEL-EN-BRESSE,2576,42,2618
01267,01,NURIEUX-VOLOGNAT,1025,23,1048
01268,01,MURS-ET-GÉLIGNIEUX,246,3,249
01269,01,NANTUA,3454,135,3589
01272,01,NEUVILLE-LES-DAMES,1500,20,1520
01273,01,NEUVILLE-SUR-AIN,1800,27,1827
01274,01,LES NEYROLLES,645,15,660
01275,01,NEYRON,2569,50,2619
01276,01,NIÉVROZ,1624,27,1651
01277,01,NIVOLLET-MONTGRIFFON,117,2,119
01279,01,ONCIEU,80,6,86
01280,01,ORDONNAZ,138,1,139
01281,01,ORNEX,4483,170,4653
01282,01,OUTRIAZ,258,6,264
01283,01,OYONNAX,22456,479,22935
01284,01,OZAN,694,13,707
01285,01,PARCIEUX,1229,30,1259
01286,01,PARVES ET NATTAGES,951,38,989
01288,01,PÉRON,2717,55,2772
01289,01,PÉRONNAS,6520,291,6811
01290,01,PÉROUGES,1273,32,1305
01291,01,PERREX,842,7,849
01293,01,PEYRIAT,148,4,152
01294,01,PEYRIEU,886,16,902
01295,01,PEYZIEUX-SUR-SAÔNE,686,13,699
01296,01,PIRAJOUX,420,8,428
01297,01,PIZAY,867,15,882
01298,01,PLAGNE,150,2,152
01299,01,LE PLANTAY,584,8,592
01301,01,POLLIAT,2547,61,2608
01302,01,POLLIEU,163,5,168
01303,01,PONCIN,1699,36,1735
01304,01,PONT-D'AIN,2924,53,2977
01305,01,PONT-DE-VAUX,2213,43,2256
01306,01,PONT-DE-VEYLE,1641,64,1705
01307,01,PORT,836,21,857
01308,01,POUGNY,807,14,821
01309,01,POUILLAT,85,0,85
01310,01,PRÉMEYZEL,251,4,255
01311,01,PRÉMILLIEU,44,0,44
01313,01,PRÉVESSIN-MOÃ«NS,8711,239,8950
01314,01,PRIAY,1729,33,1762
01317,01,RAMASSE,330,6,336
01318,01,RANCÉ,726,17,743
01319,01,RELEVANT,466,9,475
01320,01,REPLONGES,3791,91,3882
01321,01,REVONNAS,888,29,917
01322,01,REYRIEUX,4984,140,5124
01323,01,REYSSOUZE,989,14,1003
01325,01,RIGNIEUX-LE-FRANC,1032,18,1050
01328,01,ROMANS,597,4,601
01329,01,ROSSILLON,153,6,159
01330,01,RUFFIEU,182,6,188
01331,01,SAINT-ALBAN,187,0,187
01332,01,SAINT-ANDRÉ-DE-BÂGÉ,779,23,802
